energy,total_charge
-1314.07788809967,-1.0
-1314.084877494599,-1.0
-1314.091452941984,-1.0
-1314.097643782127,-1.0
-1314.103483881356,-1.0
-1314.108994156807,-1.0
-1314.114199770849,-1.0
-1314.119117195108,-1.0
-1314.123768447743,-1.0
-1314.128169103496,-1.0
-1314.132332607386,-1.0
-1314.136269040547,-1.0
-1314.139997388779,-1.0
-1314.143525910569,-1.0
-1314.146865003598,-1.0
-1314.150025879924,-1.0
-1314.153017660703,-1.0
-1314.155849447845,-1.0
-1314.15852957145,-1.0
-1314.161063812398,-1.0
-1314.163458886368,-1.0
-1314.165723164939,-1.0
-1314.167861481404,-1.0
-1314.169878769721,-1.0
-1314.171782037457,-1.0
-1314.173577041444,-1.0
-1314.175268326571,-1.0
-1314.176861613824,-1.0
-1314.178360578471,-1.0
-1314.179771212039,-1.0
-1314.181097403224,-1.0
-1314.182342799653,-1.0
-1314.183510460586,-1.0
-1314.184605611174,-1.0
-1314.185631061079,-1.0
-1314.186589944138,-1.0
-1314.187485270462,-1.0
-1314.188321301169,-1.0
-1314.189100547986,-1.0
-1314.189826266032,-1.0
-1314.19050108051,-1.0
-1314.191128146015,-1.0
-1314.191710127735,-1.0
-1314.192249482388,-1.0
-1314.192748412367,-1.0
-1314.193209198309,-1.0
-1314.193634041798,-1.0
-1314.19402486745,-1.0
-1314.194383295337,-1.0
-1314.194711285613,-1.0
-1314.195010590591,-1.0
-1314.195282849398,-1.0
-1314.195529627826,-1.0
-1314.19575234289,-1.0
-1314.19595262914,-1.0
-1314.196131919182,-1.0
-1314.196291430647,-1.0
-1314.19643235267,-1.0
-1314.196556093607,-1.0
-1314.19666371841,-1.0
-1314.196756193435,-1.0
-1314.196834547688,-1.0
-1314.196899708138,-1.0
-1314.196952517498,-1.0
-1314.196993812458,-1.0
-1314.197024127137,-1.0
-1314.197044307863,-1.0
-1314.197055018408,-1.0
-1314.197056771216,-1.0
-1314.197050230915,-1.0
-1314.197036202785,-1.0
-1314.084832763143,-1.0
-1314.091748281568,-1.0
-1314.098247896335,-1.0
-1314.104361371608,-1.0
-1314.110122798067,-1.0
-1314.115553516619,-1.0
-1314.120678966255,-1.0
-1314.125515971875,-1.0
-1314.130086765838,-1.0
-1314.134407159377,-1.0
-1314.138490860091,-1.0
-1314.142348204053,-1.0
-1314.145998211857,-1.0
-1314.149449371186,-1.0
-1314.152712247996,-1.0
-1314.155798177617,-1.0
-1314.158716338805,-1.0
-1314.161475948347,-1.0
-1314.164085345859,-1.0
-1314.166550416013,-1.0
-1314.168877932696,-1.0
-1314.171076211096,-1.0
-1314.17315015549,-1.0
-1314.175104722692,-1.0
-1314.17694688961,-1.0
-1314.178682458007,-1.0
-1314.180315909309,-1.0
-1314.181852950416,-1.0
-1314.183297330693,-1.0
-1314.184654921432,-1.0
-1314.185929603321,-1.0
-1314.187125029656,-1.0
-1314.188244242567,-1.0
-1314.189292396852,-1.0
-1314.190272232721,-1.0
-1314.191186918979,-1.0
-1314.192039432832,-1.0
-1314.192833935663,-1.0
-1314.193572978205,-1.0
-1314.194259713749,-1.0
-1314.194896790329,-1.0
-1314.195487284513,-1.0
-1314.196033889835,-1.0
-1314.196538965298,-1.0
-1314.197004704676,-1.0
-1314.197433325756,-1.0
-1314.197827021109,-1.0
-1314.198187692956,-1.0
-1314.198516904201,-1.0
-1314.198816638101,-1.0
-1314.199088546494,-1.0
-1314.199334269189,-1.0
-1314.199555351974,-1.0
-1314.199753193446,-1.0
-1314.199929376393,-1.0
-1314.200085330557,-1.0
-1314.200222221819,-1.0
-1314.200341237092,-1.0
-1314.200443765622,-1.0
-1314.200530835344,-1.0
-1314.200603387342,-1.0
-1314.200662458543,-1.0
-1314.200708920074,-1.0
-1314.200743604698,-1.0
-1314.200767327695,-1.0
-1314.200780631271,-1.0
-1314.200784312313,-1.0
-1314.200779014176,-1.0
-1314.200765267708,-1.0
-1314.200743708739,-1.0
-1314.200715131459,-1.0
-1314.091374496999,-1.0
-1314.098214176436,-1.0
-1314.10463619758,-1.0
-1314.110670696032,-1.0
-1314.116352003322,-1.0
-1314.121701857562,-1.0
-1314.126745954482,-1.0
-1314.131501505634,-1.0
-1314.135990880212,-1.0
-1314.14023014797,-1.0
-1314.144233234121,-1.0
-1314.14801076,-1.0
-1314.151581757276,-1.0
-1314.15495495722,-1.0
-1314.158141072979,-1.0
-1314.161151473334,-1.0
-1314.163995538777,-1.0
-1314.166682463693,-1.0
-1314.169220679128,-1.0
-1314.171616138896,-1.0
-1314.173875667535,-1.0
-1314.176007528809,-1.0
-1314.178016697989,-1.0
-1314.179908160716,-1.0
-1314.181688835433,-1.0
-1314.183364551989,-1.0
-1314.184939782044,-1.0
-1314.186420240746,-1.0
-1314.187809641345,-1.0
-1314.189113816522,-1.0
-1314.190336634702,-1.0
-1314.191481719424,-1.0
-1314.192552122735,-1.0
-1314.193552877902,-1.0
-1314.194486757699,-1.0
-1314.195356879716,-1.0
-1314.19616620589,-1.0
-1314.196918836871,-1.0
-1314.197617277456,-1.0
-1314.19826467834,-1.0
-1314.198863650659,-1.0
-1314.199417237393,-1.0
-1314.199928050027,-1.0
-1314.200398475336,-1.0
-1314.200830642271,-1.0
-1314.201226741838,-1.0
-1314.201588936631,-1.0
-1314.201919061754,-1.0
-1314.202218725522,-1.0
-1314.202489824449,-1.0
-1314.202733983714,-1.0
-1314.202952812321,-1.0
-1314.203147835742,-1.0
-1314.203320430249,-1.0
-1314.203472159149,-1.0
-1314.203604402418,-1.0
-1314.203718310385,-1.0
-1314.203815069669,-1.0
-1314.203896038558,-1.0
-1314.203962194669,-1.0
-1314.204014468383,-1.0
-1314.20405390777,-1.0
-1314.204081313595,-1.0
-1314.204097538586,-1.0
-1314.204103350607,-1.0
-1314.204099286339,-1.0
-1314.20408612654,-1.0
-1314.20406452912,-1.0
-1314.204034953151,-1.0
-1314.203998037104,-1.0
-1314.203954574049,-1.0
-1314.09754195693,-1.0
-1314.104304248669,-1.0
-1314.110647269558,-1.0
-1314.116601518022,-1.0
-1314.122201600981,-1.0
-1314.127469621159,-1.0
-1314.132431521167,-1.0
-1314.137104854292,-1.0
-1314.14151212148,-1.0
-1314.145669666927,-1.0
-1314.149591638012,-1.0
-1314.153288845222,-1.0
-1314.156780437767,-1.0
-1314.160075276339,-1.0
-1314.163184250366,-1.0
-1314.166118829973,-1.0
-1314.168888484922,-1.0
-1314.171502454289,-1.0
-1314.173969232027,-1.0
-1314.176294834264,-1.0
-1314.178486115404,-1.0
-1314.180551323781,-1.0
-1314.182495474338,-1.0
-1314.184323574096,-1.0
-1314.186042551583,-1.0
-1314.187658184891,-1.0
-1314.189174970226,-1.0
-1314.190598582601,-1.0
-1314.191932795221,-1.0
-1314.193183301875,-1.0
-1314.194354011252,-1.0
-1314.195448512134,-1.0
-1314.196469845894,-1.0
-1314.197422969169,-1.0
-1314.198310629279,-1.0
-1314.199135926529,-1.0
-1314.199901812359,-1.0
-1314.200612290605,-1.0
-1314.201269881916,-1.0
-1314.201877664809,-1.0
-1314.202438260992,-1.0
-1314.202954661297,-1.0
-1314.203429401104,-1.0
-1314.203864886788,-1.0
-1314.204263199492,-1.0
-1314.204626498167,-1.0
-1314.20495689147,-1.0
-1314.205256198982,-1.0
-1314.205526001859,-1.0
-1314.205768161921,-1.0
-1314.20598426124,-1.0
-1314.206175894408,-1.0
-1314.206344566286,-1.0
-1314.20649162419,-1.0
-1314.206618569655,-1.0
-1314.206726830337,-1.0
-1314.20681745317,-1.0
-1314.206891658249,-1.0
-1314.206950748617,-1.0
-1314.206995682961,-1.0
-1314.207027399997,-1.0
-1314.207046886567,-1.0
-1314.207054943065,-1.0
-1314.207052388557,-1.0
-1314.207039998355,-1.0
-1314.207018269243,-1.0
-1314.206987980636,-1.0
-1314.206949754541,-1.0
-1314.206904045197,-1.0
-1314.206851479078,-1.0
-1314.20679283066,-1.0
-1314.103362908033,-1.0
-1314.11004655457,-1.0
-1314.116309488895,-1.0
-1314.122182583015,-1.0
-1314.127700645695,-1.0
-1314.132886141663,-1.0
-1314.137765269497,-1.0
-1314.142355877748,-1.0
-1314.146680635554,-1.0
-1314.150756116102,-1.0
-1314.154596635243,-1.0
-1314.158213321211,-1.0
-1314.161625279476,-1.0
-1314.164841575632,-1.0
-1314.167873296483,-1.0
-1314.170731921589,-1.0
-1314.173427023949,-1.0
-1314.175967940457,-1.0
-1314.178363160836,-1.0
-1314.180618811881,-1.0
-1314.182741774822,-1.0
-1314.184740220058,-1.0
-1314.186619263588,-1.0
-1314.188383936532,-1.0
-1314.190041115406,-1.0
-1314.191596547726,-1.0
-1314.193054775643,-1.0
-1314.19442144758,-1.0
-1314.195700329487,-1.0
-1314.196897079448,-1.0
-1314.198015538057,-1.0
-1314.199059303379,-1.0
-1314.200031430614,-1.0
-1314.200936782402,-1.0
-1314.201778058225,-1.0
-1314.202558378522,-1.0
-1314.203280659444,-1.0
-1314.203948810661,-1.0
-1314.204565353381,-1.0
-1314.205133353413,-1.0
-1314.205655370719,-1.0
-1314.206134376323,-1.0
-1314.206572854428,-1.0
-1314.206973204,-1.0
-1314.207337442173,-1.0
-1314.207667707572,-1.0
-1314.207966095596,-1.0
-1314.208234356534,-1.0
-1314.208474075204,-1.0
-1314.208687051318,-1.0
-1314.208874854595,-1.0
-1314.209039060914,-1.0
-1314.20918114064,-1.0
-1314.209302417649,-1.0
-1314.209404359234,-1.0
-1314.209488363317,-1.0
-1314.209555439838,-1.0
-1314.209606854953,-1.0
-1314.209643816608,-1.0
-1314.20966728144,-1.0
