energy,total_charge
1.358195449649883813e-01,-1.000000000000000000e+00
1.288301424899600534e-01,-1.000000000000000000e+00
1.222547047491389094e-01,-1.000000000000000000e+00
1.160638699241189897e-01,-1.000000000000000000e+00
1.102237479940413323e-01,-1.000000000000000000e+00
1.047134552979969158e-01,-1.000000000000000000e+00
9.950779632799822139e-02,-1.000000000000000000e+00
9.459054342300987628e-02,-1.000000000000000000e+00
8.993927215806252207e-02,-1.000000000000000000e+00
8.553863211704992864e-02,-1.000000000000000000e+00
8.137514745908447367e-02,-1.000000000000000000e+00
7.743863126302130695e-02,-1.000000000000000000e+00
7.371026384907963802e-02,-1.000000000000000000e+00
7.018176283213506395e-02,-1.000000000000000000e+00
6.684266738511723815e-02,-1.000000000000000000e+00
6.368179448713817692e-02,-1.000000000000000000e+00
6.069008917302198824e-02,-1.000000000000000000e+00
5.785825121597554244e-02,-1.000000000000000000e+00
5.517811038203035423e-02,-1.000000000000000000e+00
5.264387633792466659e-02,-1.000000000000000000e+00
5.024879438792595465e-02,-1.000000000000000000e+00
4.798454202909852029e-02,-1.000000000000000000e+00
4.584620142304629553e-02,-1.000000000000000000e+00
4.382894651007518405e-02,-1.000000000000000000e+00
4.192569389306299854e-02,-1.000000000000000000e+00
4.013064034211311082e-02,-1.000000000000000000e+00
3.843937544093023462e-02,-1.000000000000000000e+00
3.684608218895846221e-02,-1.000000000000000000e+00
3.534712180203314347e-02,-1.000000000000000000e+00
3.393647567600055481e-02,-1.000000000000000000e+00
3.261026918107745587e-02,-1.000000000000000000e+00
3.136486330004117917e-02,-1.000000000000000000e+00
3.019718823111361417e-02,-1.000000000000000000e+00
2.910201818508539873e-02,-1.000000000000000000e+00
2.807657359198856284e-02,-1.000000000000000000e+00
2.711769007805742149e-02,-1.000000000000000000e+00
2.622234589102845348e-02,-1.000000000000000000e+00
2.538630350613857445e-02,-1.000000000000000000e+00
2.460707846307741420e-02,-1.000000000000000000e+00
2.388134898205862555e-02,-1.000000000000000000e+00
2.320654193499649409e-02,-1.000000000000000000e+00
2.257946927011289517e-02,-1.000000000000000000e+00
2.199748839507265075e-02,-1.000000000000000000e+00
2.145811323111956881e-02,-1.000000000000000000e+00
2.095917177507544693e-02,-1.000000000000000000e+00
2.049837203298920940e-02,-1.000000000000000000e+00
2.007354201896305312e-02,-1.000000000000000000e+00
1.968271817713684868e-02,-1.000000000000000000e+00
1.932428546592745988e-02,-1.000000000000000000e+00
1.899631439414406486e-02,-1.000000000000000000e+00
1.869700766701498651e-02,-1.000000000000000000e+00
1.842474390605275403e-02,-1.000000000000000000e+00
1.817795165902680310e-02,-1.000000000000000000e+00
1.795523059399783961e-02,-1.000000000000000000e+00
1.775494601292848529e-02,-1.000000000000000000e+00
1.757566011406197504e-02,-1.000000000000000000e+00
1.741620755910844309e-02,-1.000000000000000000e+00
1.727527947309681622e-02,-1.000000000000000000e+00
1.715149995902720548e-02,-1.000000000000000000e+00
1.704388478106011462e-02,-1.000000000000000000e+00
1.695142978792318900e-02,-1.000000000000000000e+00
1.687307997804055049e-02,-1.000000000000000000e+00
1.680791979401874414e-02,-1.000000000000000000e+00
1.675508870403064066e-02,-1.000000000000000000e+00
1.671380611992390186e-02,-1.000000000000000000e+00
1.668347804502445797e-02,-1.000000000000000000e+00
1.666331163391987502e-02,-1.000000000000000000e+00
1.665260037611915322e-02,-1.000000000000000000e+00
1.665084596606902778e-02,-1.000000000000000000e+00
1.665741050896940578e-02,-1.000000000000000000e+00
1.667142331507420749e-02,-1.000000000000000000e+00
1.288748902729821566e-01,-1.000000000000000000e+00
1.219593811169943365e-01,-1.000000000000000000e+00
1.154597606860079395e-01,-1.000000000000000000e+00
1.093462624410221906e-01,-1.000000000000000000e+00
1.035848051519678847e-01,-1.000000000000000000e+00
9.815406161806095042e-02,-1.000000000000000000e+00
9.302874821310069819e-02,-1.000000000000000000e+00
