energy,total_charge
1.247004222418581776e-01,-1.000000000000000000e+00
1.178376316188405326e-01,-1.000000000000000000e+00
1.113864105648190161e-01,-1.000000000000000000e+00
1.053177760959442821e-01,-1.000000000000000000e+00
9.959816996388326515e-02,-1.000000000000000000e+00
9.420674054581468226e-02,-1.000000000000000000e+00
8.911834274999819172e-02,-1.000000000000000000e+00
8.431651976297871443e-02,-1.000000000000000000e+00
7.977918730989586038e-02,-1.000000000000000000e+00
7.549081263982770906e-02,-1.000000000000000000e+00
7.143796709101479792e-02,-1.000000000000000000e+00
6.761035984186491987e-02,-1.000000000000000000e+00
6.398922920789118507e-02,-1.000000000000000000e+00
6.056604774880725017e-02,-1.000000000000000000e+00
5.733040148993495677e-02,-1.000000000000000000e+00
5.427117127896963211e-02,-1.000000000000000000e+00
5.137893350888589339e-02,-1.000000000000000000e+00
4.864460990302177379e-02,-1.000000000000000000e+00
4.606003877393050061e-02,-1.000000000000000000e+00
4.361926618389588839e-02,-1.000000000000000000e+00
4.131541741389810340e-02,-1.000000000000000000e+00
3.914037516597090871e-02,-1.000000000000000000e+00
3.708927598290756578e-02,-1.000000000000000000e+00
3.515715275898401160e-02,-1.000000000000000000e+00
3.333708297691373446e-02,-1.000000000000000000e+00
3.162323722790461034e-02,-1.000000000000000000e+00
3.001120646786148427e-02,-1.000000000000000000e+00
2.849531436481811397e-02,-1.000000000000000000e+00
2.707180997981595283e-02,-1.000000000000000000e+00
2.573471985397191020e-02,-1.000000000000000000e+00
2.448033639302593656e-02,-1.000000000000000000e+00
2.330497924799601606e-02,-1.000000000000000000e+00
2.220555655799216765e-02,-1.000000000000000000e+00
2.117707168895321956e-02,-1.000000000000000000e+00
2.021678797791537363e-02,-1.000000000000000000e+00
1.932154128485308320e-02,-1.000000000000000000e+00
1.848851350086988532e-02,-1.000000000000000000e+00
1.771356730591833184e-02,-1.000000000000000000e+00
1.699405281988219940e-02,-1.000000000000000000e+00
1.632704874486989866e-02,-1.000000000000000000e+00
1.570991403991683910e-02,-1.000000000000000000e+00
1.513937090680883557e-02,-1.000000000000000000e+00
1.461303565588423226e-02,-1.000000000000000000e+00
1.412843807497665694e-02,-1.000000000000000000e+00
1.368333413802247378e-02,-1.000000000000000000e+00
1.327561362791129795e-02,-1.000000000000000000e+00
1.290317271195817739e-02,-1.000000000000000000e+00
1.256401159980669036e-02,-1.000000000000000000e+00
1.225675445084561943e-02,-1.000000000000000000e+00
1.197932995000883238e-02,-1.000000000000000000e+00
1.173004534484789474e-02,-1.000000000000000000e+00
1.150742057188836043e-02,-1.000000000000000000e+00
1.130989171792862180e-02,-1.000000000000000000e+00
1.113587509098579176e-02,-1.000000000000000000e+00
1.098396999191209034e-02,-1.000000000000000000e+00
1.085265267988688720e-02,-1.000000000000000000e+00
1.074066179080546135e-02,-1.000000000000000000e+00
1.064685335791182297e-02,-1.000000000000000000e+00
1.057015856486032135e-02,-1.000000000000000000e+00
1.050879537183391221e-02,-1.000000000000000000e+00
1.046227869596805249e-02,-1.000000000000000000e+00
1.042942020694681560e-02,-1.000000000000000000e+00
1.040948363697680179e-02,-1.000000000000000000e+00
1.040145396382285981e-02,-1.000000000000000000e+00
1.040459736282173253e-02,-1.000000000000000000e+00
1.041843684788545943e-02,-1.000000000000000000e+00
1.044196553198162292e-02,-1.000000000000000000e+00
1.047457694289732899e-02,-1.000000000000000000e+00
1.051581431397607957e-02,-1.000000000000000000e+00
1.056500076083466411e-02,-1.000000000000000000e+00
1.062113321881952288e-02,-1.000000000000000000e+00
1.178756398189761967e-01,-1.000000000000000000e+00
1.110979462619070546e-01,-1.000000000000000000e+00
1.047326413718110416e-01,-1.000000000000000000e+00
9.875040681390601094e-02,-1.000000000000000000e+00
9.311749198582219833e-02,-1.000000000000000000e+00
8.781269085693566012e-02,-1.000000000000000000e+00
8.281065213282090554e-02,-1.000000000000000000e+00
7.809463972080266103e-02,-1.000000000000000000e+00
7.364245261192081671e-02,-1.000000000000000000e+00
6.943835119091090746e-02,-1.000000000000000000e+00
6.546873323190993688e-02,-1.000000000000000000e+00
6.172310871784247865e-02,-1.000000000000000000e+00
5.818271036491751147e-02,-1.000000000000000000e+00
5.483887106288420910e-02,-1.000000000000000000e+00
5.168105639586428879e-02,-1.000000000000000000e+00
4.869807680597659783e-02,-1.000000000000000000e+00
4.588043878902681172e-02,-1.000000000000000000e+00
4.321908052293110813e-02,-1.000000000000000000e+00
4.070574918000602338e-02,-1.000000000000000000e+00
3.833448036880326981e-02,-1.000000000000000000e+00
3.609838648890217883e-02,-1.000000000000000000e+00
3.398937554402436945e-02,-1.000000000000000000e+00
3.200256610193719098e-02,-1.000000000000000000e+00
3.013299841995831230e-02,-1.000000000000000000e+00
2.837375614194570517e-02,-1.000000000000000000e+00
2.671906301497983804e-02,-1.000000000000000000e+00
2.516448233996015915e-02,-1.000000000000000000e+00
2.370441350399232761e-02,-1.000000000000000000e+00
2.233506562697584741e-02,-1.000000000000000000e+00
2.105055288689072768e-02,-1.000000000000000000e+00
1.984718195785717398e-02,-1.000000000000000000e+00
1.872130452193232486e-02,-1.000000000000000000e+00
1.766985715994451311e-02,-1.000000000000000000e+00
1.668791477095510345e-02,-1.000000000000000000e+00
1.577275215800000296e-02,-1.000000000000000000e+00
1.492125130994281790e-02,-1.000000000000000000e+00
1.413060462982684840e-02,-1.000000000000000000e+00
1.339676192901606555e-02,-1.000000000000000000e+00
1.271707087880713516e-02,-1.000000000000000000e+00
