energy,total_charge
4.019266051629983849e-01,-1.000000000000000000e+00
3.930352284319269529e-01,-1.000000000000000000e+00
4.356506891149365401e-01,-1.000000000000000000e+00
4.327360208869777125e-01,-1.000000000000000000e+00
4.584930379990055371e-01,-1.000000000000000000e+00
3.817825998589796654e-01,-1.000000000000000000e+00
4.626996319318550377e-01,-1.000000000000000000e+00
4.574650381910032593e-01,-1.000000000000000000e+00
3.822017426268757845e-01,-1.000000000000000000e+00
3.778581366630078264e-01,-1.000000000000000000e+00
3.581904523059620260e-01,-1.000000000000000000e+00
3.531551531009426981e-01,-1.000000000000000000e+00
3.502208648928899493e-01,-1.000000000000000000e+00
3.965576888679152034e-01,-1.000000000000000000e+00
4.577732142868171650e-01,-1.000000000000000000e+00
4.494483188418598729e-01,-1.000000000000000000e+00
4.128332727179895301e-01,-1.000000000000000000e+00
4.972097360760017182e-01,-1.000000000000000000e+00
4.934249922109756881e-01,-1.000000000000000000e+00
4.915320113279904035e-01,-1.000000000000000000e+00
4.893139375928967638e-01,-1.000000000000000000e+00
4.673357421338550921e-01,-1.000000000000000000e+00
5.161210880658018141e-01,-1.000000000000000000e+00
4.773282590438157058e-01,-1.000000000000000000e+00
4.376400771338921913e-01,-1.000000000000000000e+00
4.332473645358732028e-01,-1.000000000000000000e+00
4.074505294768187014e-01,-1.000000000000000000e+00
4.054813037198528036e-01,-1.000000000000000000e+00
4.433316650950018811e-01,-1.000000000000000000e+00
4.795933472619253735e-01,-1.000000000000000000e+00
4.361838738059304887e-01,-1.000000000000000000e+00
4.391587537918439921e-01,-1.000000000000000000e+00
3.961168477969749802e-01,-1.000000000000000000e+00
3.761880302417921484e-01,-1.000000000000000000e+00
3.751488056179823616e-01,-1.000000000000000000e+00
4.105947664618270210e-01,-1.000000000000000000e+00
3.923100013639668759e-01,-1.000000000000000000e+00
4.074598084948775067e-01,-1.000000000000000000e+00
4.068963450138198823e-01,-1.000000000000000000e+00
3.902101270978164393e-01,-1.000000000000000000e+00
4.068441038330092852e-01,-1.000000000000000000e+00
3.851064293498893676e-01,-1.000000000000000000e+00
3.840846910759410093e-01,-1.000000000000000000e+00
3.667412170589159359e-01,-1.000000000000000000e+00
3.274907854408866115e-01,-1.000000000000000000e+00
3.811851997138546722e-01,-1.000000000000000000e+00
3.869129984548180801e-01,-1.000000000000000000e+00
3.875573681129935721e-01,-1.000000000000000000e+00
3.872215614449032728e-01,-1.000000000000000000e+00
3.944254987798103684e-01,-1.000000000000000000e+00
3.939151242639127304e-01,-1.000000000000000000e+00
3.920109568889529328e-01,-1.000000000000000000e+00
4.022594466318878403e-01,-1.000000000000000000e+00
4.001147503738593514e-01,-1.000000000000000000e+00
3.278153020369245496e-01,-1.000000000000000000e+00
3.822406081899316632e-01,-1.000000000000000000e+00
3.557455407649285917e-01,-1.000000000000000000e+00
3.548842745869933424e-01,-1.000000000000000000e+00
3.546292736248233268e-01,-1.000000000000000000e+00
3.533499862128337554e-01,-1.000000000000000000e+00
3.716056288340041647e-01,-1.000000000000000000e+00
3.715403179319309857e-01,-1.000000000000000000e+00
3.374357090499415790e-01,-1.000000000000000000e+00
3.382690492699111928e-01,-1.000000000000000000e+00
3.378356761797931540e-01,-1.000000000000000000e+00
3.373888177100070607e-01,-1.000000000000000000e+00
3.369978747168715927e-01,-1.000000000000000000e+00
3.366949485559871391e-01,-1.000000000000000000e+00
3.364117023959352082e-01,-1.000000000000000000e+00
3.163132420488636853e-01,-1.000000000000000000e+00
2.767270559029384458e-01,-1.000000000000000000e+00
3.955707049608463421e-01,-1.000000000000000000e+00
3.868209519089305104e-01,-1.000000000000000000e+00
3.806246747708428302e-01,-1.000000000000000000e+00
3.869276698019348260e-01,-1.000000000000000000e+00
3.811700925377863314e-01,-1.000000000000000000e+00
4.818777300918100082e-01,-1.000000000000000000e+00
4.026084495578743372e-01,-1.000000000000000000e+00
4.194388401738251559e-01,-1.000000000000000000e+00
3.951953216787842393e-01,-1.000000000000000000e+00
3.561334410378549364e-01,-1.000000000000000000e+00
3.712987359749604366e-01,-1.000000000000000000e+00
3.667750584418172366e-01,-1.000000000000000000e+00
3.951474712739582174e-01,-1.000000000000000000e+00
4.215159222378588311e-01,-1.000000000000000000e+00
4.177346658648275479e-01,-1.000000000000000000e+00
4.444747571528750996e-01,-1.000000000000000000e+00
4.764256832309001766e-01,-1.000000000000000000e+00
4.592108462918531586e-01,-1.000000000000000000e+00
4.892341329109513026e-01,-1.000000000000000000e+00
4.864182357709978533e-01,-1.000000000000000000e+00
4.839701018909181585e-01,-1.000000000000000000e+00
